tight 	 AK10LCTRIMF5R30	 pt1000 	 d2beta1 	 91 	 105 	 LEFT 	2
tight 	 AK10LCTRIMF5R30	 pt1500 	 tau21   	 99 	 119 	 LEFT 	0.43
tight 	 AK10LCTRIMF5R30	 pt1500 	 c2beta1 	 99 	 119 	 LEFT 	0.069
tight 	 AK10LCTRIMF5R30	 pt1500 	 d2beta1 	 99 	 119 	 LEFT 	2.3
tight 	 CA10LCPRUNR50Z15	 pt200  	 tau21   	 83 	 123 	 LEFT 	0.41
tight 	 CA10LCPRUNR50Z15	 pt200  	 c2beta1 	 83 	 123 	 LEFT 	0.244
tight 	 CA10LCPRUNR50Z15	 pt200  	 d2beta1 	 83 	 123 	 LEFT 	1.35
tight 	 CA10LCPRUNR50Z15	 pt350  	 tau21   	 81 	 95 	 LEFT 	0.38
tight 	 CA10LCPRUNR50Z15	 pt350  	 c2beta1 	 81 	 95 	 LEFT 	0.136
tight 	 CA10LCPRUNR50Z15	 pt350  	 d2beta1 	 81 	 95 	 LEFT 	1.25
tight 	 CA10LCPRUNR50Z15	 pt500  	 tau21   	 81 	 93 	 LEFT 	0.4
tight 	 CA10LCPRUNR50Z15	 pt500  	 c2beta1 	 81 	 93 	 LEFT 	0.099
tight 	 CA10LCPRUNR50Z15	 pt500  	 d2beta1 	 81 	 93 	 LEFT 	1.3
tight 	 CA10LCPRUNR50Z15	 pt1000 	 tau21   	 81 	 93 	 LEFT 	0.39
tight 	 CA10LCPRUNR50Z15	 pt1000 	 c2beta1 	 81 	 93 	 LEFT 	0.054
tight 	 CA10LCPRUNR50Z15	 pt1000 	 d2beta1 	 81 	 93 	 LEFT 	1.4
tight 	 CA10LCPRUNR50Z15	 pt1500 	 tau21   	 83 	 99 	 LEFT 	0.34
tight 	 CA10LCPRUNR50Z15	 pt1500 	 c2beta1 	 83 	 99 	 LEFT 	0.039
tight 	 CA10LCPRUNR50Z15	 pt1500 	 d2beta1 	 83 	 99 	 LEFT 	1.4
tight 	 CA12LCBDRSM100R30Y15	 pt200  	 tau21   	 81 	 99 	 LEFT 	0.35
tight 	 CA12LCBDRSM100R30Y15	 pt200  	 c2beta1 	 81 	 99 	 LEFT 	0.224
tight 	 CA12LCBDRSM100R30Y15	 pt200  	 d2beta1 	 81 	 99 	 LEFT 	1.2
tight 	 CA12LCBDRSM100R30Y15	 pt350  	 tau21   	 81 	 95 	 LEFT 	0.37
tight 	 CA12LCBDRSM100R30Y15	 pt350  	 c2beta1 	 81 	 95 	 LEFT 	0.144
tight 	 CA12LCBDRSM100R30Y15	 pt350  	 d2beta1 	 81 	 95 	 LEFT 	1.25
tight 	 CA12LCBDRSM100R30Y15	 pt500  	 tau21   	 81 	 93 	 LEFT 	0.38
tight 	 CA12LCBDRSM100R30Y15	 pt500  	 c2beta1 	 81 	 93 	 LEFT 	0.099
tight 	 CA12LCBDRSM100R30Y15	 pt500  	 d2beta1 	 81 	 93 	 LEFT 	1.25
tight 	 CA12LCBDRSM100R30Y15	 pt1000 	 tau21   	 81 	 93 	 LEFT 	0.34
tight 	 CA12LCBDRSM100R30Y15	 pt1000 	 c2beta1 	 81 	 93 	 LEFT 	0.048
tight 	 CA12LCBDRSM100R30Y15	 pt1000 	 d2beta1 	 81 	 93 	 LEFT 	1.2
tight 	 CA12LCBDRSM100R30Y15	 pt1500 	 tau21   	 73 	 97 	 LEFT 	0.26
tight 	 CA12LCBDRSM100R30Y15	 pt1500 	 c2beta1 	 73 	 97 	 LEFT 	0.024
tight 	 CA12LCBDRSM100R30Y15	 pt1500 	 d2beta1 	 73 	 97 	 LEFT 	1
